Iteration no. | highest value
1 | 8820
11 | 9789
13 | 11291
44 | 12265
52 | 12703
57 | 13219
61 | 15517
104 | 15604
112 | 16153
145 | 16746
186 | 17344
213 | 18725
338 | 19868
366 | 20131
471 | 20209
518 | 21124
590 | 21282
592 | 22576
681 | 22873
710 | 23281
762 | 24112
787 | 24326
831 | 25061
903 | 25826
1024 | 26417
1195 | 27715
1340 | 27812
1379 | 28223
1412 | 28850
1442 | 28866
1488 | 29365
1627 | 29620
1694 | 30064
1737 | 30197
1923 | 30333
2040 | 31547
2336 | 31571
2410 | 31780
2449 | 31908
2714 | 32108
2795 | 32756
2912 | 33083
2971 | 33407
3242 | 33427
3448 | 34077
3621 | 34394
4175 | 34850
4471 | 35657
5030 | 36306
5466 | 36320
5716 | 36524
5785 | 36773
5852 | 36889
5917 | 37431
6802 | 37542
6833 | 37690
7026 | 38385
7239 | 38551
7668 | 39190
7724 | 39433
7823 | 39638
7848 | 40185
8285 | 40703
8321 | 40786
8682 | 40896
8920 | 41240
9524 | 41697
9916 | 41891
10684 | 42382
11746 | 42518
11762 | 42627
11995 | 42693
12065 | 42893
12402 | 43068
12525 | 43138
13214 | 43519
13408 | 43866
13759 | 43941
13768 | 44043
14344 | 44334
14653 | 45231
15776 | 45449
15962 | 45891
